No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier	LCSC Price	JLCPCB Stock	JLCPCB Price
1	2	100uF	C1,C2	CAP-TH_BD8.0-P3.50-D0.6-FD-H10.0	100uF	100uF35V8x11GF	Econd(米朗电子)	C49304899	LCSC		4602	0.0042
2	4	Screw-Hole-M2	SCREW1,SCREW2,SCREW3,SCREW4	Screw-Hole-M2						8.4476		
3	1	ESP32-DevKitC	U1	BULETM-SMD_ESP32-DEVKITC		ESP32-DevKitC	ESPRESSIF(乐鑫)	C571180	LCSC		0	
4	2	TMC2209SILENTSTEPSTICK	U2,U3	COMM-TH_TMC2209SILENTSTEPSTICK		TMC2209SILENTSTEPSTICK	TRINAMIC	C17375345	LCSC		0	0.6161
5	1	1988804	U4	CONN-TH_1988804		1988804	Phoenix Contact(菲尼克斯)	C7168402	LCSC		14	0.1192
6	2	B6B-XH-AM(LF)(SN)	U5,U6	CONN-TH_6P-P2.50_B6B-XH-AM-LF-SN		B6B-XH-AM(LF)(SN)	JST	C161873	LCSC		5326	0.0236
